month,stock_code,top_risk_score,rank_in_topn
2020-06,002049,1.3651118598327519,3
2020-06,600845,1.31920982529022,4
2020-06,601698,1.2427907758659922,5
2020-06,600515,1.2162560504792683,6
2020-06,601689,1.0330260692558872,7
2020-06,600926,0.9611761662239172,8
2020-06,603986,0.7627505510911816,9
2020-06,000100,0.7592897216884311,10
2020-07,300759,1.6988658867967712,1
2020-07,002475,1.5151276886552547,2
2020-07,300347,1.2837431131349322,3
2020-07,300394,1.150981701357186,4
2020-07,600570,1.0836507425237454,5
2020-07,600809,0.9778540434548708,6
2020-07,002709,0.8897304124978376,7
2020-07,300782,0.8728458070950375,8
2020-07,002714,0.8227857504048353,9
2020-07,000895,0.8032842953617703,10
2020-08,002625,1.642297487473416,1
2020-08,002352,1.4161562144861555,2
2020-08,300274,1.346920070808141,3
2020-08,002028,1.0485663507029255,4
2020-08,300661,0.8095021513456839,5
2020-08,300394,0.6418206963793082,6
2020-08,600515,0.6310038372417107,7
2020-08,300502,0.6051179307797661,8
2020-08,600845,0.5936008904761783,9
2020-08,600588,0.5861991714524761,10
2020-09,300759,1.256594793255894,1
2020-09,000895,1.1833241840491275,2
2020-09,302132,1.1756759683516964,3
2020-09,002352,1.012931065544093,4
2020-09,601628,0.973413192751277,5
2020-09,601788,0.8560199027154548,6
2020-09,600482,0.8092191665001628,7
2020-09,600660,0.7111088453766239,8
2020-09,600115,0.6687185854763451,9
2020-09,002920,0.6471231995426993,10
2020-10,002709,2.01909320411006,1
2020-10,300274,1.9703238960601492,2
2020-10,002625,1.4825108392667632,3
2020-10,300316,1.222934658439874,4
2020-10,002920,1.202826513558599,5
2020-10,600845,1.1204843908823718,6
2020-10,002027,1.1171394746105354,7
2020-10,601788,0.977461688131054,8
2020-10,688169,0.9540706395904306,9
2020-10,688396,0.951276586664352,10
2020-11,300274,2.1473852549459687,1
2020-11,601238,1.7389347925924852,2
2020-11,688169,1.729202130789447,3
2020-11,601633,1.6346796968082722,4
2020-11,002027,1.0972406890060888,5
2020-11,601901,1.0322937963051362,6
2020-11,300750,0.9940106477972436,7
2020-11,603369,0.8980066671983539,8
2020-11,300759,0.8600818119811531,9
2020-11,002459,0.8304603693798887,10
2020-12,000807,1.7800566572317071,1
2020-12,000768,1.4117177416335662,2
2020-12,002709,1.1187834094048594,3
2020-12,600760,0.8511456746740864,4
2020-12,601111,0.35888016061427713,5
2020-12,601100,0.3163007322137414,6
2020-12,600029,0.2484179175440406,7
2020-12,000157,0.2382896740135396,8
